view,part_id,parent,pivot_id,z_index,min_deg,max_deg,aligned_asset,cropped_asset
front,chest,mid_torso,chest,70,-12,12,assets/front/aligned/chest.png,assets/front/cropped/chest.png
front,mid_torso,pelvis,waist,60,-14,14,assets/front/aligned/mid_torso.png,assets/front/cropped/mid_torso.png
front,pelvis,root,pelvis,50,-18,18,assets/front/aligned/pelvis.png,assets/front/cropped/pelvis.png
front,upper_arm_L,chest,shoulder_L,35,-65,65,assets/front/aligned/upper_arm_L.png,assets/front/cropped/upper_arm_L.png
front,forearm_L,upper_arm_L,elbow_L,20,-12,112,assets/front/aligned/forearm_L.png,assets/front/cropped/forearm_L.png
front,hand_L,forearm_L,wrist_L,45,-35,35,assets/front/aligned/hand_L.png,assets/front/cropped/hand_L.png
front,thigh_L,pelvis,hip_L,30,-38,38,assets/front/aligned/thigh_L.png,assets/front/cropped/thigh_L.png
front,calf_L,thigh_L,knee_L,10,-8,98,assets/front/aligned/calf_L.png,assets/front/cropped/calf_L.png
front,foot_L,calf_L,ankle_L,20,-28,28,assets/front/aligned/foot_L.png,assets/front/cropped/foot_L.png
front,upper_arm_R,chest,shoulder_R,35,-65,65,assets/front/aligned/upper_arm_R.png,assets/front/cropped/upper_arm_R.png
front,forearm_R,upper_arm_R,elbow_R,20,-112,12,assets/front/aligned/forearm_R.png,assets/front/cropped/forearm_R.png
front,hand_R,forearm_R,wrist_R,45,-35,35,assets/front/aligned/hand_R.png,assets/front/cropped/hand_R.png
front,thigh_R,pelvis,hip_R,30,-38,38,assets/front/aligned/thigh_R.png,assets/front/cropped/thigh_R.png
front,calf_R,thigh_R,knee_R,10,-98,8,assets/front/aligned/calf_R.png,assets/front/cropped/calf_R.png
front,foot_R,calf_R,ankle_R,20,-28,28,assets/front/aligned/foot_R.png,assets/front/cropped/foot_R.png
three_quarter,chest,mid_torso,chest,60,-12,12,assets/three_quarter/aligned/chest.png,assets/three_quarter/cropped/chest.png
three_quarter,mid_torso,pelvis,waist,50,-14,14,assets/three_quarter/aligned/mid_torso.png,assets/three_quarter/cropped/mid_torso.png
three_quarter,pelvis,root,pelvis,40,-18,18,assets/three_quarter/aligned/pelvis.png,assets/three_quarter/cropped/pelvis.png
three_quarter,upper_arm_L,chest,shoulder_L,14,-65,65,assets/three_quarter/aligned/upper_arm_L.png,assets/three_quarter/cropped/upper_arm_L.png
three_quarter,forearm_L,upper_arm_L,elbow_L,12,-12,112,assets/three_quarter/aligned/forearm_L.png,assets/three_quarter/cropped/forearm_L.png
three_quarter,hand_L,forearm_L,wrist_L,16,-35,35,assets/three_quarter/aligned/hand_L.png,assets/three_quarter/cropped/hand_L.png
three_quarter,thigh_L,pelvis,hip_L,10,-38,38,assets/three_quarter/aligned/thigh_L.png,assets/three_quarter/cropped/thigh_L.png
three_quarter,calf_L,thigh_L,knee_L,8,-8,98,assets/three_quarter/aligned/calf_L.png,assets/three_quarter/cropped/calf_L.png
three_quarter,foot_L,calf_L,ankle_L,9,-28,28,assets/three_quarter/aligned/foot_L.png,assets/three_quarter/cropped/foot_L.png
three_quarter,upper_arm_R,chest,shoulder_R,74,-65,65,assets/three_quarter/aligned/upper_arm_R.png,assets/three_quarter/cropped/upper_arm_R.png
three_quarter,forearm_R,upper_arm_R,elbow_R,76,-112,12,assets/three_quarter/aligned/forearm_R.png,assets/three_quarter/cropped/forearm_R.png
three_quarter,hand_R,forearm_R,wrist_R,78,-35,35,assets/three_quarter/aligned/hand_R.png,assets/three_quarter/cropped/hand_R.png
three_quarter,thigh_R,pelvis,hip_R,70,-38,38,assets/three_quarter/aligned/thigh_R.png,assets/three_quarter/cropped/thigh_R.png
three_quarter,calf_R,thigh_R,knee_R,65,-98,8,assets/three_quarter/aligned/calf_R.png,assets/three_quarter/cropped/calf_R.png
three_quarter,foot_R,calf_R,ankle_R,67,-28,28,assets/three_quarter/aligned/foot_R.png,assets/three_quarter/cropped/foot_R.png
back,chest,mid_torso,chest,70,-12,12,assets/back/aligned/chest.png,assets/back/cropped/chest.png
back,mid_torso,pelvis,waist,60,-14,14,assets/back/aligned/mid_torso.png,assets/back/cropped/mid_torso.png
back,pelvis,root,pelvis,50,-18,18,assets/back/aligned/pelvis.png,assets/back/cropped/pelvis.png
back,upper_arm_L,chest,shoulder_L,35,-65,65,assets/back/aligned/upper_arm_L.png,assets/back/cropped/upper_arm_L.png
back,forearm_L,upper_arm_L,elbow_L,20,-12,112,assets/back/aligned/forearm_L.png,assets/back/cropped/forearm_L.png
back,hand_L,forearm_L,wrist_L,45,-35,35,assets/back/aligned/hand_L.png,assets/back/cropped/hand_L.png
back,thigh_L,pelvis,hip_L,30,-38,38,assets/back/aligned/thigh_L.png,assets/back/cropped/thigh_L.png
back,calf_L,thigh_L,knee_L,10,-8,98,assets/back/aligned/calf_L.png,assets/back/cropped/calf_L.png
back,foot_L,calf_L,ankle_L,20,-28,28,assets/back/aligned/foot_L.png,assets/back/cropped/foot_L.png
back,upper_arm_R,chest,shoulder_R,35,-65,65,assets/back/aligned/upper_arm_R.png,assets/back/cropped/upper_arm_R.png
back,forearm_R,upper_arm_R,elbow_R,20,-112,12,assets/back/aligned/forearm_R.png,assets/back/cropped/forearm_R.png
back,hand_R,forearm_R,wrist_R,45,-35,35,assets/back/aligned/hand_R.png,assets/back/cropped/hand_R.png
back,thigh_R,pelvis,hip_R,30,-38,38,assets/back/aligned/thigh_R.png,assets/back/cropped/thigh_R.png
back,calf_R,thigh_R,knee_R,10,-98,8,assets/back/aligned/calf_R.png,assets/back/cropped/calf_R.png
back,foot_R,calf_R,ankle_R,20,-28,28,assets/back/aligned/foot_R.png,assets/back/cropped/foot_R.png
