pivot_id,front_x,front_y,three_quarter_x,three_quarter_y,back_x,back_y
root,500,690,515,695,500,690
pelvis,500,690,515,695,500,690
waist,500,575,510,575,500,575
chest,500,450,510,450,500,450
neck_socket,500,150,510,150,500,150
shoulder_L,655,280,600,292,345,280
elbow_L,702,565,650,562,298,565
wrist_L,718,810,666,805,282,810
shoulder_R,345,280,405,282,655,280
elbow_R,298,565,345,565,702,565
wrist_R,282,810,325,810,718,810
hip_L,570,705,570,710,430,705
knee_L,592,1115,606,1110,408,1115
ankle_L,605,1480,620,1475,395,1480
hip_R,430,705,445,705,570,705
knee_R,408,1115,420,1118,592,1115
ankle_R,395,1480,410,1484,605,1480
